taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo	RuleLength	ExtraOptions
Anastomosis	 2	 2	 2	 10.25	 1.75	 1.40	 1.42	 stabilize=yes, prune=yes, postStabilize=yes	
Australian	 2	 2	 1	 103.15	 101.72	 8.80	 1.22	 stabilize=no, prune=no, postStabilize=no	
Australian	 2	 2	 2	 103.46	 102.61	 8.08	 1.30	 stabilize=no, prune=no, postStabilize=no	
Australian	 2	 2	 1	 105.53	 101.89	 8.75	 1.77	 stabilize=yes, prune=no, postStabilize=no	
Australian	 2	 2	 2	 105.95	 102.44	 9.13	 1.93	 stabilize=yes, prune=no, postStabilize=no	
Australian	 2	 2	 1	 105.12	 102.19	 7.81	 1.11	 stabilize=yes, prune=yes, postStabilize=no	
Australian	 2	 2	 2	 105.99	 100.60	 8.00	 1.40	 stabilize=yes, prune=yes, postStabilize=no	
Australian	 2	 2	 1	 103.76	 103.44	 9.01	 1.14	 stabilize=yes, prune=yes, postStabilize=yes	
Australian	 2	 2	 2	 104.48	 102.33	 8.89	 1.36	 stabilize=yes, prune=yes, postStabilize=yes	
Congressional_Voting	 2	 2	 1	 105.81	 105.97	 5.75	 1.00	 stabilize=no, prune=no, postStabilize=no	
Congressional_Voting	 2	 2	 2	 108.80	 108.77	 6.77	 1.02	 stabilize=no, prune=no, postStabilize=no	
Congressional_Voting	 2	 2	 1	 105.80	 105.96	 5.91	 1.00	 stabilize=yes, prune=no, postStabilize=no	
Congressional_Voting	 2	 2	 2	 108.94	 108.39	 7.75	 1.04	 stabilize=yes, prune=no, postStabilize=no	
Congressional_Voting	 2	 2	 1	 105.51	 106.24	 5.73	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Congressional_Voting	 2	 2	 2	 108.43	 109.40	 6.30	 1.01	 stabilize=yes, prune=yes, postStabilize=no	
Congressional_Voting	 2	 2	 1	 105.56	 106.21	 5.60	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Congressional_Voting	 2	 2	 2	 108.98	 108.94	 6.43	 1.01	 stabilize=yes, prune=yes, postStabilize=yes	
Echo_cardiogram	 2	 2	 1	 20.70	 18.65	 1.83	 1.01	 stabilize=no, prune=no, postStabilize=no	
Echo_cardiogram	 2	 2	 2	 19.99	 15.51	 3.44	 1.33	 stabilize=no, prune=no, postStabilize=no	
Echo_cardiogram	 2	 2	 1	 20.75	 18.79	 1.46	 1.01	 stabilize=yes, prune=no, postStabilize=no	
Echo_cardiogram	 2	 2	 2	 19.82	 16.11	 3.24	 1.30	 stabilize=yes, prune=no, postStabilize=no	
Echo_cardiogram	 2	 2	 1	 20.51	 18.79	 1.74	 1.01	 stabilize=yes, prune=yes, postStabilize=no	
Echo_cardiogram	 2	 2	 2	 19.32	 16.09	 2.87	 1.09	 stabilize=yes, prune=yes, postStabilize=no	
Echo_cardiogram	 2	 2	 1	 20.65	 18.41	 2.00	 1.01	 stabilize=yes, prune=yes, postStabilize=yes	
Echo_cardiogram	 2	 2	 2	 19.57	 15.82	 2.70	 1.11	 stabilize=yes, prune=yes, postStabilize=yes	
German	 2	 2	 1	 39.00	 30.04	 5.18	 2.00	 stabilize=no, prune=no, postStabilize=no	
German	 2	 2	 2	 37.57	 30.04	 4.57	 1.97	 stabilize=no, prune=no, postStabilize=no	
German	 2	 2	 1	 38.25	 30.49	 5.96	 2.00	 stabilize=yes, prune=no, postStabilize=no	
German	 2	 2	 2	 37.03	 29.74	 5.26	 2.00	 stabilize=yes, prune=no, postStabilize=no	
